stationid,observationdate,rainfall,rain_unit,temperature,temperature_unit,temp_category,is_hot,is_cold
S318,2023-03-05,40.40254428621154,inch,26.422225274116062,Celsius,Hot,True,False
S225,2023-05-08,14.81338844440977,mm,14.902965144380664,c,Cool,False,False
S307,2023-06-12,2.7502391763564447,mm,11.374305318216058,C,Cool,False,False
S234,2023-05-26,19.792293284997687,MM,17.012351315613255,C,Warm,False,False
S172,2023-08-28,1.8081507464479616, INCH,21.07980986016588,c,Warm,False,False
S315,2023-10-10,43.93618022230146,,35.58753695590607,Celsius,Hot,True,False
S374,2023-06-05,38.08127978496239,MM,33.71901570487304,Celsius,Hot,True,False
S386,2023-06-28,16.236894397189566,mm,13.075638980391284,C,Cool,False,False
S113,2023-08-20,18.452782490435688,MM,17.348730206886046,Celsius,Warm,False,False
S101,2023-04-04,10.421610841934436,inch,39.85799215314459,C,Hot,True,False
S113,2023-07-30,32.89920397802488,MM,23.84120813528267,c,Warm,False,False
S054,2023-04-25,23.049430658350968,inch,13.225563349161307,c,Cool,False,False
S224,2023-06-08,27.394687789875444,inch,36.577050430413664, celsius ,Hot,True,False
S225,2023-02-15,14.358404699996214,mm,23.59470336899461,c,Warm,False,False
S385,2023-11-11,19.72638250452721,inch,44.290839707365066,c,Hot,True,False
S130,2023-03-22,25.017780195064503,,31.3313838233362, celsius ,Hot,True,False
S218,2023-08-21,36.23878110830064,inch,25.669481783461816, celsius ,Hot,True,False
S160,2023-04-04,5.745870609780779, INCH,27.56896890579789,Celsius,Hot,True,False
S247,2023-07-08,25.017780195064503,inch,20.34992101925845,c,Warm,False,False
S324,2023-03-08,3.34489856743806,MM,35.87037897038668,c,Hot,True,False
S255,2023-10-13,26.082905309177107,inch,40.7221183049503,C,Hot,True,False
S372,2023-02-21,25.017780195064503, INCH,25.705247498169623, celsius ,Hot,True,False
S395,2023-04-29,39.569430927468666, INCH,14.01754854079638,Celsius,Cool,False,False
S240,2023-06-07,49.65243977705177,,16.441217492663252, celsius ,Warm,False,False
S144,2023-06-16,44.82032441709623,MM,25.755861981843, celsius ,Hot,True,False
S097,2023-02-26,14.873932918323613,inch,25.47150111832544, celsius ,Hot,True,False
S201,2023-03-24,47.6808720885881,,14.795056865340545, celsius ,Cool,False,False
S187,2023-12-06,21.07229436334336, INCH,22.864604807477125, celsius ,Warm,False,False
S349,2023-11-28,25.017780195064503,inch,44.64325965731739,Celsius,Hot,True,False
S252,2023-12-26,22.55101379300309,mm,20.55796605690897, celsius ,Warm,False,False
S352,2023-06-03,19.13715825708529,inch,21.58680937102749,C,Warm,False,False
S128,2023-06-12,49.54394791035373,MM,11.08806977890237,Celsius,Cool,False,False
S360,2023-11-21,2.5238354486593337,MM,41.10545971081211,Celsius,Hot,True,False
S129,2023-09-22,7.976240530134443, INCH,13.91468721597405,C,Cool,False,False
S099,2023-08-16,47.69865163594337,,19.685426784946387,C,Warm,False,False
S263,2023-11-08,35.34126864495201, INCH,38.90295080254518,Celsius,Hot,True,False
S252,2023-11-21,38.877490256563966, INCH,42.9173394635236,c,Hot,True,False
S144,2023-03-02,21.35723179989964,,21.712854925516545,C,Warm,False,False
S254,2023-07-21,29.51112150663052,,34.571211475690326, celsius ,Hot,True,False
S140,2023-09-19,23.19448743286598,MM,30.916861570682396,C,Hot,True,False
S037,2023-03-06,5.08613201002327,inch,20.63592268683789,c,Warm,False,False
S009,2023-03-24,29.0658042818, INCH,32.14072226826784, celsius ,Hot,True,False
S233,2023-03-31,45.14739491859069,mm,36.92189360333097,Celsius,Hot,True,False
S208,2023-01-31,44.76919819279972,MM,16.94041573269243,Celsius,Warm,False,False
S131,2023-06-17,25.017780195064503,inch,40.96803140652374,Celsius,Hot,True,False
S152,2023-12-02,12.196805339494292,,23.16194542692938,c,Warm,False,False
S120,2023-07-20,20.944188228854504,mm,19.43168745701776,Celsius,Warm,False,False
S104,2023-08-21,39.111003700031134,MM,38.21477739378875,Celsius,Hot,True,False
S254,2023-09-05,14.233578102029616,inch,30.577300323362017, celsius ,Hot,True,False
S227,2023-03-20,28.497381854376403, INCH,17.123407180229165, celsius ,Warm,False,False
S112,2023-12-25,12.46889027817168,inch,10.350883477463492,C,Cool,False,False
S338,2023-04-01,0.3838670870667082,inch,21.80810404403968, celsius ,Warm,False,False
S163,2023-03-12,6.503674313883695,MM,18.9986579737899,Celsius,Warm,False,False
S169,2023-04-24,32.20688697189738,,38.84585748705295, celsius ,Hot,True,False
S161,2023-01-07,20.569103459660028,MM,26.09738912457885, celsius ,Hot,True,False
S068,2023-12-08,4.429831044717403,inch,33.924397434443435,C,Hot,True,False
S195,2023-03-04,48.82235403691213,mm,43.7013381509831,c,Hot,True,False
S371,2023-07-24,8.248499761951761,mm,19.80607625373302,c,Warm,False,False
S038,2023-01-13,23.495881962672104,inch,31.49103692574389,c,Hot,True,False
S051,2023-11-02,47.3512201073131,mm,44.90596655272255, celsius ,Hot,True,False
S283,2023-09-28,24.10709073278965,,12.662894637221626,Celsius,Cool,False,False
S027,2023-10-05,35.655326331548395,,21.478358126434745,c,Warm,False,False
S226,2023-12-14,36.64477326685041,mm,38.43331770805048,c,Hot,True,False
S286,2023-11-05,41.03785703970128, INCH,34.01134621625117,Celsius,Hot,True,False
S284,2023-01-01,9.84549442557991, INCH,25.69588649265553, celsius ,Hot,True,False
S317,2023-12-26,36.44525550987181,inch,11.200733334505388,C,Cool,False,False
S192,2023-01-29,46.22463336021862,mm,35.54413011875484,C,Hot,True,False
S049,2023-11-02,45.00451132827295,mm,41.36200047582658,C,Hot,True,False
S017,2023-01-11,40.39532431678538,inch,29.47606792482017, celsius ,Hot,True,False
S046,2023-04-24,0.217025690765793,,38.88772441591024,c,Hot,True,False
S373,2023-06-06,11.554947308440006,,40.895284809573965,C,Hot,True,False
S006,2023-01-11,35.690437273424365, INCH,20.483951570080148,C,Warm,False,False
S037,2023-12-02,18.914485812227465,MM,44.465627139237256,C,Hot,True,False
S280,2023-01-06,35.36369355956323,inch,32.22862872682873,Celsius,Hot,True,False
S181,2023-08-15,0.7925992480060096, INCH,41.90115472909969,c,Hot,True,False
S095,2023-03-24,9.007672938361432, INCH,16.549694076198968, celsius ,Warm,False,False
S099,2023-12-19,46.90945615278102,inch,26.70941827704843,c,Hot,True,False
S253,2023-03-22,11.729543448547592,mm,39.06191388508971,C,Hot,True,False
S256,2023-11-08,13.737933684676973,mm,43.8952276605453,Celsius,Hot,True,False
S281,2023-02-06,27.42189974226773,mm,32.362098281956406, celsius ,Hot,True,False
S223,2023-12-26,14.952523382975356,inch,17.413958230803296,Celsius,Warm,False,False
S054,2023-11-18,34.740821463800415,mm,13.04202578161222, celsius ,Cool,False,False
S058,2023-03-05,25.017780195064503,inch,13.00763601201166,Celsius,Cool,False,False
S174,2023-02-19,47.98173323171036,mm,11.88518525857227,c,Cool,False,False
S280,2023-06-08,16.387178450634394,inch,26.639493777933755, celsius ,Hot,True,False
S288,2023-05-16,27.025333874059047,inch,21.68035011362985,C,Warm,False,False
S342,2023-04-27,2.4845964911146714,MM,12.062566492406123, celsius ,Cool,False,False
S151,2023-12-18,9.558367249559309, INCH,12.106135890366534, celsius ,Cool,False,False
S127,2023-01-08,40.63467901501967,mm,38.04565119952455,C,Hot,True,False
S155,2023-03-04,39.69373833628694,inch,18.949021579263537,C,Warm,False,False
S299,2023-07-27,39.980133325479095, INCH,37.920236427099965, celsius ,Hot,True,False
S246,2023-04-29,23.526518457232537,inch,30.949513080083705,c,Hot,True,False
S176,2023-01-06,46.32695498354471,MM,11.230995957217385,C,Cool,False,False
S247,2023-01-21,31.938259057503736,mm,41.01618692775867, celsius ,Hot,True,False
S306,2023-07-16,46.71143980842759, INCH,26.58843355006177,c,Hot,True,False
S013,2023-03-04,3.7927966054752185,inch,29.196541453436176,Celsius,Hot,True,False
S316,2023-06-08,26.47354741645289,,23.71693137195241,Celsius,Warm,False,False
S020,2023-04-11,39.90905082095465,,42.221779812325565,Celsius,Hot,True,False
S321,2023-10-21,0.504661922383437,MM,38.90212594614773, celsius ,Hot,True,False
S143,2023-05-24,11.585907810977965,,22.060104247340547,C,Warm,False,False
S215,2023-10-15,32.96825976254861,inch,33.86296719344645,Celsius,Hot,True,False
S342,2023-12-02,25.017780195064503,mm,18.129842555733735,C,Warm,False,False
S051,2023-10-14,29.455553269629497,MM,35.01658782325861, celsius ,Hot,True,False
S314,2023-03-18,4.45241375113608,,19.950737109643644,C,Warm,False,False
S058,2023-01-18,35.1050193556249,inch,40.5205771325484,Celsius,Hot,True,False
S342,2023-08-27,45.26333961535242,mm,34.30248515077753,C,Hot,True,False
S170,2023-12-24,33.54976979467182,inch,16.420415105219927,c,Warm,False,False
S271,2023-05-25,6.592305469804577,mm,40.213678071236046,Celsius,Hot,True,False
S264,2023-07-29,47.1531996930467,,18.26982833309385,Celsius,Warm,False,False
S060,2023-12-24,29.23874588751821, INCH,23.0767103945697,Celsius,Warm,False,False
S108,2023-11-21,20.17776837064003,mm,31.09629099746365, celsius ,Hot,True,False
S005,2023-12-15,26.91344125785141,,26.38596505908401,Celsius,Hot,True,False
S365,2023-03-22,19.745605511533203,MM,40.52313660571544,Celsius,Hot,True,False
S047,2023-07-09,47.73290209867415,inch,14.233834660095011,Celsius,Cool,False,False
S311,2023-12-26,25.050210792979748, INCH,21.860565137003995,C,Warm,False,False
S106,2023-10-30,18.76102508868997,,25.741285246612154,c,Hot,True,False
S147,2023-12-24,13.307623330142542, INCH,40.52455376879168, celsius ,Hot,True,False
S319,2023-08-01,25.017780195064503,,34.949147701879774, celsius ,Hot,True,False
S092,2023-11-24,3.897042741787416,MM,18.929051979550067,Celsius,Warm,False,False
S058,2023-08-08,10.033537041534837,MM,22.441792021303364,Celsius,Warm,False,False
S229,2023-05-24,49.48383138848608,,38.57716296402897,C,Hot,True,False
S318,2023-03-30,39.57402569512058,inch,41.6597192682195,C,Hot,True,False
S279,2023-12-01,0.9364907625997844,inch,23.812556710123115,C,Warm,False,False
S129,2023-07-30,49.98517296597849,inch,19.621036244904523,C,Warm,False,False
S096,2023-12-03,20.83611285599568,inch,40.81563013423619,c,Hot,True,False
S118,2023-06-26,3.075028134219032,,44.22244372474114,Celsius,Hot,True,False
S278,2023-10-13,15.20536377583112,mm,20.77662690563061,C,Warm,False,False
S349,2023-04-24,14.89473477255872,MM,44.26354195514037, celsius ,Hot,True,False
S076,2023-01-07,2.2906889931642582, INCH,20.900435678631094,C,Warm,False,False
S154,2023-03-20,35.59845611956188,MM,17.611937995247306, celsius ,Warm,False,False
S086,2023-04-17,21.699589348155676,mm,33.72104085773773,c,Hot,True,False
S238,2023-03-26,32.48472789972451,mm,40.35371843533543,C,Hot,True,False
S341,2023-09-30,41.66242375765945,mm,22.644269154337582,c,Warm,False,False
S039,2023-12-30,25.017780195064503,mm,29.41164744618086,Celsius,Hot,True,False
S100,2023-10-01,18.41122876405888,mm,24.65100244519376,c,Warm,False,False
S289,2023-05-11,1.6093209024811206,inch,41.948534436335166,c,Hot,True,False
S254,2023-04-30,21.817226541371493,inch,42.67154592342747,C,Hot,True,False
S357,2023-05-05,35.326250888098635, INCH,34.7534435948514, celsius ,Hot,True,False
S010,2023-01-10,25.017780195064503,,29.646510868761496, celsius ,Hot,True,False
S246,2023-11-15,5.612986018983252, INCH,33.76902843070009,C,Hot,True,False
S100,2023-06-06,25.017780195064503,inch,34.98075411232702,Celsius,Hot,True,False
S290,2023-07-30,26.658894613959667, INCH,42.06095387895559,c,Hot,True,False
S180,2023-01-16,38.128443828696746,mm,29.45189581215689, celsius ,Hot,True,False
S223,2023-10-03,37.70842988694682,MM,37.41937001676376,c,Hot,True,False
S394,2023-11-19,8.33619274938468,,22.529599071074937,C,Warm,False,False
S096,2023-05-18,25.017780195064503,MM,34.819569288907616,Celsius,Hot,True,False
S257,2023-08-09,8.413963199829288,MM,16.468419803312585, celsius ,Warm,False,False
S384,2023-01-12,20.743773213914245,mm,27.55632336021069, celsius ,Hot,True,False
S178,2023-12-30,20.62466993510453,MM,30.56282872969165, celsius ,Hot,True,False
S380,2023-09-12,43.22336381693473,MM,14.84304270074579, celsius ,Cool,False,False
S065,2023-09-15,10.346349012195066,inch,34.92114754268719,C,Hot,True,False
S168,2023-09-24,31.56383711028678, INCH,26.155533477182868,c,Hot,True,False
S043,2023-03-21,27.40413783678492,MM,36.47806390122678,C,Hot,True,False
S285,2023-11-06,20.371260046085062,mm,20.302749957405503, celsius ,Warm,False,False
S012,2023-09-27,25.09455162510829, INCH,38.02542687392365,c,Hot,True,False
S264,2023-03-07,25.017780195064503,inch,10.695677021020485, celsius ,Cool,False,False
S093,2023-03-17,24.1684486475514,MM,16.8283856367454,c,Warm,False,False
S090,2023-05-26,4.878627022410786,,22.741859150679005,C,Warm,False,False
S115,2023-10-07,22.21526297689429,,13.594874299131847,Celsius,Cool,False,False
S196,2023-03-04,9.328958958042533,,10.41701468086395,Celsius,Cool,False,False
S114,2023-05-26,25.017780195064503,inch,25.073441656610104,C,Hot,True,False
S075,2023-08-12,19.575527051981496,,24.806841532016183,c,Warm,False,False
S394,2023-05-18,10.014478462065506,mm,31.872744441092145, celsius ,Hot,True,False
S192,2023-12-09,17.76555310965363,MM,29.707311668095464,c,Hot,True,False
S036,2023-04-12,27.007430875123887,mm,17.42488596636113,c,Warm,False,False
S096,2023-02-22,17.443626728255413,MM,13.701065794255232,Celsius,Cool,False,False
S151,2023-09-05,34.011839209257936,mm,41.990869864566434,C,Hot,True,False
S224,2023-10-05,25.017780195064503,mm,35.20806644471709, celsius ,Hot,True,False
S268,2023-01-23,48.06308774563281,,40.49365885881952,c,Hot,True,False
S183,2023-05-18,2.471076844587894,MM,43.48659499034559, celsius ,Hot,True,False
S279,2023-10-24,32.27571336607601,inch,44.97623522028458,C,Hot,True,False
S217,2023-01-12,40.876669204233,inch,16.97381495243951, celsius ,Warm,False,False
S273,2023-06-04,17.572285211708856,inch,29.833920946884795,c,Hot,True,False
S369,2023-08-29,14.947748522283185,mm,35.36230172429052,Celsius,Hot,True,False
S062,2023-12-18,4.2797443500166015,,17.62855177585911,c,Warm,False,False
S368,2023-12-18,18.42321436894668,,17.133237081496574,C,Warm,False,False
S342,2023-05-08,7.356261423639632,MM,37.10037411880943, celsius ,Hot,True,False
S177,2023-09-24,25.985062802623148, INCH,37.71630119441576,c,Hot,True,False
S100,2023-06-04,1.5570404456298923,,37.365405693094125,C,Hot,True,False
S076,2023-09-14,15.880732614981524,MM,41.96021858094215,C,Hot,True,False
S284,2023-04-07,15.861186688548024,inch,42.394999548190896,Celsius,Hot,True,False
S223,2023-12-29,12.275493636602231,,42.62092794806448, celsius ,Hot,True,False
S099,2023-09-23,39.54599360574423,,13.945889495225918,c,Cool,False,False
S396,2023-03-29,16.4430720738672,MM,24.018684972460434, celsius ,Warm,False,False
S025,2023-03-25,10.858003128634865,MM,40.22788808019168, celsius ,Hot,True,False
S379,2023-01-01,45.58110212744712,mm,39.98626044566389,c,Hot,True,False
S151,2023-03-23,48.7830496543284,inch,42.34801465246024,c,Hot,True,False
S144,2023-07-07,28.04183961586666,MM,25.91036311649013,C,Hot,True,False
S057,2023-03-21,25.017780195064503,mm,35.03327213445881,Celsius,Hot,True,False
S223,2023-10-23,28.214299935898257,inch,18.10178694276857,Celsius,Warm,False,False
S122,2023-09-10,22.773081255015114,inch,30.694327265636723, celsius ,Hot,True,False
S235,2023-05-29,41.20388035562128,mm,20.003589726146046,C,Warm,False,False
S331,2023-09-22,1.7683468663450552,MM,14.594796363797077,c,Cool,False,False
S076,2023-12-21,1.014209748576178,inch,43.2629474710381, celsius ,Hot,True,False
S009,2023-08-26,22.541807055087776,mm,27.63002372361183,Celsius,Hot,True,False
S253,2023-09-03,12.78256268731649,MM,26.43406809159376,C,Hot,True,False
S230,2023-09-14,7.851605194718514, INCH,17.107915767870765,C,Warm,False,False
S393,2023-12-21,14.658461883157475, INCH,23.50528050286274,c,Warm,False,False
S194,2023-06-06,28.731757336951336,inch,36.33622964998219,c,Hot,True,False
S029,2023-02-20,24.622899557474003,inch,34.805313929825765, celsius ,Hot,True,False
S339,2023-07-24,25.017780195064503,mm,21.388342250036533,Celsius,Warm,False,False
S136,2023-03-29,27.385482961002168,,33.41695875872905,c,Hot,True,False
S365,2023-11-29,6.819744085721647,inch,15.737775433386044,Celsius,Warm,False,False
S321,2023-04-06,23.0790071350759,MM,25.630850632067983,Celsius,Hot,True,False
S327,2023-11-08,47.87621531503552,inch,42.36133650070589,C,Hot,True,False
S217,2023-01-10,25.017780195064503,inch,38.64388092938224,Celsius,Hot,True,False
S252,2023-03-03,26.325434602914573,mm,13.29116170183833,c,Cool,False,False
S275,2023-03-30,45.01497671732088,mm,40.11386097102405,c,Hot,True,False
S364,2023-01-20,18.07900628684308,inch,35.042255138263414, celsius ,Hot,True,False
S182,2023-03-08,3.8064768902579593, INCH,41.99163271210856,c,Hot,True,False
S091,2023-11-29,20.68767584215078,mm,28.825331256924272,C,Hot,True,False
S202,2023-10-30,1.1539946621301034, INCH,23.3291258649627,C,Warm,False,False
S039,2023-01-31,4.550773733251079, INCH,43.99220138563942,Celsius,Hot,True,False
S141,2023-12-26,27.16858420098941,,26.98406940937416, celsius ,Hot,True,False
S242,2023-03-27,30.61327823308416,inch,25.27179578596352,c,Hot,True,False
S220,2023-10-27,47.250685463558, INCH,33.73088262936972, celsius ,Hot,True,False
S126,2023-09-18,19.8243358198999,mm,30.58744285730949,Celsius,Hot,True,False
S058,2023-07-08,25.070345318083515, INCH,26.60903256671805,c,Hot,True,False
S148,2023-08-28,15.084417952819212,mm,27.074611908409786, celsius ,Hot,True,False
S383,2023-11-19,0.3534512614579987,mm,23.706877139461994,Celsius,Warm,False,False
S361,2023-03-18,42.934889235948006,inch,44.09328396396348,C,Hot,True,False
S001,2023-01-02,3.29759282819882, INCH,39.39439330426959,Celsius,Hot,True,False
S348,2023-07-31,35.95517312742575, INCH,23.68198949223835,c,Warm,False,False
S190,2023-01-17,32.07745742893407,,19.504832045601123,c,Warm,False,False
S312,2023-09-27,46.42989759920741,mm,26.932469260634956, celsius ,Hot,True,False
S134,2023-02-01,37.895597270262535,mm,36.0021372631059,c,Hot,True,False
S173,2023-01-29,27.466501783503745,MM,12.176886111723178,c,Cool,False,False
S317,2023-06-02,29.40222648566812,,35.82798287968294, celsius ,Hot,True,False
S203,2023-06-06,15.958522080980808,MM,43.75833033982089,c,Hot,True,False
S252,2023-04-22,12.314647854259553, INCH,23.659525368809447,c,Warm,False,False
S229,2023-03-13,22.353545489445143,mm,16.21048011413398, celsius ,Warm,False,False
S164,2023-10-19,25.017780195064503,inch,30.18958653826547, celsius ,Hot,True,False
